email_text,category
Your monthly summary from LinkedIn - 45 profile views,newsletter
New employee onboarding next week. Please welcome Sarah to the team.,work
Performance review cycle begins next month. Schedule 1:1s.,work
URGENT: System outage affecting production servers. Immediate action required.,urgent
Hot singles in your area want to meet you. Click now!!!!,spam
Product Hunt Daily: Today's top 5 products,newsletter
ASAP: Client meeting rescheduled to today at 3 PM. Confirm attendance.,urgent
Office will be closed for maintenance this Saturday,work
Stack Overflow Newsletter: Top questions in Python this month,newsletter
Flight confirmation: NYC to LAX on March 15th,personal
TechCrunch Newsletter: Latest startup funding rounds,newsletter
Team lunch this Friday at 12:30 PM. Please RSVP.,work
Flight confirmation: NYC to LAX on March 15th,personal
VIAGRA 50% OFF! Limited time offer. Buy now!!!!!!,spam
Make $5000 a day working from home. No experience needed!!!!!!,spam
"Congratulations! You've won $1,000,000. Click here to claim your prize now!!!!",spam
Q4 planning session scheduled for next Monday at 2 PM,work
Sprint retrospective scheduled for Thursday at 4 PM,work
Reminder: Dentist appointment tomorrow at 10 AM,personal
ASAP: Client meeting rescheduled to today at 3 PM. Confirm attendance.,urgent
Reminder: Dentist appointment tomorrow at 10 AM,personal
GitHub Trending: Most starred repositories this week,newsletter
Time-sensitive: Interview scheduled for tomorrow morning at 9 AM.,urgent
Office will be closed for maintenance this Saturday,work
Reminder: Dentist appointment tomorrow at 10 AM,personal
Bank statement for January 2025 is now available,personal
TechCrunch Newsletter: Latest startup funding rounds,newsletter
ACTION REQUIRED: Your account will be locked in 2 hours due to suspicious activity.,urgent
The Verge Newsletter: This week in consumer tech,newsletter
"Congratulations! You've won $1,000,000. Click here to claim your prize now!",spam
Your Netflix subscription payment was successful,personal
Prescription ready for pickup at CVS Pharmacy,personal
Dev.to Weekly: Best web development articles of the week,newsletter
New employee onboarding next week. Please welcome Sarah to the team.,work
Q4 planning session scheduled for next Monday at 2 PM,work
Reminder: Time sheets due by Friday EOD,work
IMMEDIATE: Server migration tonight at 11 PM. All hands on deck.,urgent
VIAGRA 50% OFF! Limited time offer. Buy now!!!!!!,spam
Emergency: Payment failed for subscription. Update billing info within 24 hours.,urgent
Reminder: Time sheets due by Friday EOD,work
Updated documentation for API v2.0 - please review,work
Team lunch this Friday at 12:30 PM. Please RSVP.,work
Your monthly summary from LinkedIn - 45 profile views,newsletter
Nigerian prince needs your help transferring funds. Generous reward awaits.!!!,spam
Emergency: Payment failed for subscription. Update billing info within 24 hours.,urgent
ACTION REQUIRED: YOUR ACCOUNT WILL BE LOCKED IN 2 HOURS DUE TO SUSPICIOUS ACTIVITY.,urgent
EMERGENCY: PAYMENT FAILED FOR SUBSCRIPTION. UPDATE BILLING INFO WITHIN 24 HOURS.,urgent
Prescription ready for pickup at CVS Pharmacy,personal
Q4 planning session scheduled for next Monday at 2 PM,work
"Congratulations! You've won $1,000,000. Click here to claim your prize now!",spam
Make $5000 a day working from home. No experience needed!!!!!!,spam
Q4 planning session scheduled for next Monday at 2 PM,work
You have inherited $10 million from a distant relative. Reply with your bank details.,spam
Updated documentation for API v2.0 - please review,work
Bank statement for January 2025 is now available,personal
Critical: Security breach detected. Please change your password immediately.,urgent
TIME-SENSITIVE: INTERVIEW SCHEDULED FOR TOMORROW MORNING AT 9 AM.,urgent
Lose 20 pounds in 2 weeks with this one weird trick doctors hate!!!!,spam
Critical bug in production. Need fix deployed ASAP.,urgent
Q4 planning session scheduled for next Monday at 2 PM,work
TechCrunch Newsletter: Latest startup funding rounds,newsletter
Flight confirmation: NYC to LAX on March 15th,personal
Hot singles in your area want to meet you. Click now!!!!,spam
Flight confirmation: NYC to LAX on March 15th,personal
URGENT: System outage affecting production servers. Immediate action required.,urgent
New employee onboarding next week. Please welcome Sarah to the team.,work
Hot singles in your area want to meet you. Click now!!!!,spam
Team lunch this Friday at 12:30 PM. Please RSVP.,work
Weekly Tech Digest: Top 10 AI developments this week,newsletter
Meeting notes from yesterday's standup - action items attached,work
Package delivered: Check your mailbox,personal
Lose 20 pounds in 2 weeks with this one weird trick doctors hate!,spam
You have inherited $10 million from a distant relative. Reply with your bank details.!!!,spam
Gym membership renewal reminder - expires in 5 days,personal
URGENT: System outage affecting production servers. Immediate action required.,urgent
Reminder: Time sheets due by Friday EOD,work
Reminder: Dentist appointment tomorrow at 10 AM,personal
Your car insurance policy is up for renewal next month,personal
Sprint retrospective scheduled for Thursday at 4 PM,work
Hacker News Digest: Top stories you might have missed,newsletter
Office will be closed for maintenance this Saturday,work
Package delivered: Check your mailbox,personal
Stack Overflow Newsletter: Top questions in Python this month,newsletter
Your Amazon order has shipped. Track your package here.,personal
ASAP: CLIENT MEETING RESCHEDULED TO TODAY AT 3 PM. CONFIRM ATTENDANCE.,urgent
Gym membership renewal reminder - expires in 5 days,personal
Office will be closed for maintenance this Saturday,work
"Congratulations! You've won $1,000,000. Click here to claim your prize now!!!!",spam
Bank statement for January 2025 is now available,personal
CRITICAL: SECURITY BREACH DETECTED. PLEASE CHANGE YOUR PASSWORD IMMEDIATELY.,urgent
Product Hunt Daily: Today's top 5 products,newsletter
You have inherited $10 million from a distant relative. Reply with your bank details.!!!,spam
Product Hunt Daily: Today's top 5 products,newsletter
Earn money by clicking ads! Get rich quick with zero effort!!!!,spam
